menu.loginEuropass,Prijava u Europass
footer.workForEU,Rad za Europsku uniju
footer.languagePolicy,Jezična politika
footer.legalNotice,Pravna obavijest
footer.webAccessibility,Dostupnost na internetu
navbar.europass,Europass
navbar.learnInEurope,Učenje u Europi
navbar.workInEurope,Rad u Europi
navbar.aboutEuropass,O Europassu
navbar.contactUs,Kontakt
common.create-credentials,Kreiraj vjerodajnice
common.credential-builder,Kreator vjerodajnica
common.prepare-your-data,Kako pripremiti svoje podatke
common.test-seal-device,Testirajte svoj uređaj za kreiranje pečata
common.download-xls,Preuzmi dokument u formatu XLS
common.onlineCredentialBuilder,Internetski kreator vjerodajnica
common.upload-spreadsheet,Učitaj proračunsku tablicu u formatu XLS
common.upload-xml,Učitaj dokument u formatu XML
common.upload-xls,Učitaj dokument u formatu XLS
common.upload-file,Učitaj datoteku
common.upload-concent-message,Klikom na učitavanje potvrđujem da mi je politikom o zaštiti podataka moje organizacije dopušteno podijeliti ove podatke s Europassom za vrijeme sesije u svrhu kreiranja i izdavanja vjerodajnica.
common.cancel,Odustani
common.upload,Učitaj
common.save,spremi
common.previous,prethodno
common.date,Datum
common.no,ne
common.yes,da
common.next,sljedeće
common.name,Ime
common.edit,Uredi
common.create,Kreiraj
common.delete,Izbriši
common.preview,pretpregled
common.actions,radnje
common.select,odaberi
common.studentName,Primatelj
common.course,Naslov vjerodajnice
common.valid,valjano
common.sealed,zapečaćeno
common.seal,Pečat
common.sent,poslano
common.send,Pošalji
common.topic,Tema
common.createNewCredential,kreiraj novu vjerodajnicu
common.received,primljeno
common.title,Naslov
common.information,informacije
common.content,Sadržaj
common.issuer,Izdavatelj
common.issue,izdaj
common.description,Opis
common.appearance,Izgled
common.identifier,Identifikator
common.spatialId,Prostorni ID
common.language,Jezik
common.organization,organizacije
common.error,Pogreška
common.warning,upozorenje
common.ok,U redu
common.loginEuropass,Prijava u Europass
common.logout,Odjava
common.login.intro,Prijavite se
common.login.link.text,ovdje
common.session.refresh,osvježi sesiju
common.check,Pregled
common.identifiers,identifikatori
common.proceed,Nastavi
common.europassCredential,Vjerodajnica Europassa
home.credentialsForCitizens,Vjerodajnice za građane
home.credentialsForIssuer,Vjerodajnice za izdavatelje
home.main-info.title,Digitalne vjerodajnice Europassa
home.testE-seal,Testirajte svoj e-pečat
home.main-info.description,"Digitalne vjerodajnice Europassa su elektronski zapečaćena digitalna evidencija koja se daje kako bi osoba mogla certificirati svoje učenje. Mogu se dodijeliti za formalno obrazovanje, osposobljavanje, internetske tečajeve, volontiranje i slično."
home.menu-links.credentials-for-citizens.title,Vjerodajnice za građane
home.menu-links.credentials-for-issuers.title,Vjerodajnice za izdavatelje
home.menu-links.credentials-for-issuers.content.title,Izdaj digitalno potpisane vjerodajnice
